date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:20	106388/106388	---M-Z	200	added ('OK')	font/opentype	etag:W/%22a6723ee85629865af07fd267fd2ee23a5ef6f3c3%22	https://use.typekit.net/af/8babc2/00000000000000007735a120/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/8babc2/00000000000000007735a120/30/ae265	(from https://use.typekit.net/wwd6pco.css)
22:08:21	4196/4196	---MCZ	200	added ('OK')	application/javascript	etag:W/%221064-199dc93de05%22	https://ranti.co.id/_nuxt/cd931828019f9a44e585.js	E:/cloning%20website/Muslimah/ranti.co.id/_nuxt/cd931828019f9a44e585.js	(from https://ranti.co.id/signin)
22:08:23	7216/7216	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c30-199dc93de05%22	https://ranti.co.id/_nuxt/f97a44821f0a9e4d6661.js	E:/cloning%20website/Muslimah/ranti.co.id/_nuxt/f97a44821f0a9e4d6661.js	(from https://ranti.co.id/register)
22:08:24	426901/426901	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202026%2014:08:21%20GMT	https://ranti.co.id/forgot-password	E:/cloning%20website/Muslimah/ranti.co.id/forgot-password.html	(from https://ranti.co.id/signin)
22:08:25	8740/8740	---MCZ	200	added ('OK')	application/javascript	etag:W/%222224-199dc93de03%22	https://ranti.co.id/_nuxt/88fcf2824b0d15d6396a.js	E:/cloning%20website/Muslimah/ranti.co.id/_nuxt/88fcf2824b0d15d6396a.js	(from https://ranti.co.id/order-track)
22:08:26	1042/1042	---MC-	200	added ('OK')	text/javascript	date:Fri,%2017%20Apr%202026%2014:08:25%20GMT	https://www.google.com/recaptcha/api.js?onload=vueRecaptchaApiLoaded&render=explicit	E:/cloning%20website/Muslimah/www.google.com/recaptcha/api05cd.js	(from https://ranti.co.id/contact)
22:08:27	12192/12192	---MCZ	200	added ('OK')	application/javascript	etag:W/%222fa0-199dc93de03%22	https://ranti.co.id/_nuxt/4a42f6f444538e5423b7.js	E:/cloning%20website/Muslimah/ranti.co.id/_nuxt/4a42f6f444538e5423b7.js	(from https://ranti.co.id/contact)
22:08:28	4716/4716	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Apr%202026%2014:08:26%20GMT	https://ranti.co.id/cdn-cgi/l/email-protection	E:/cloning%20website/Muslimah/ranti.co.id/cdn-cgi/l/email-protection.4b.delayed	(from https://ranti.co.id/contact)
22:08:28	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2017%20Apr%202026%2014:08:26%20GMT	https://ranti.co.id/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	E:/cloning%20website/Muslimah/ranti.co.id/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://ranti.co.id/contact)
22:08:29	1448/1448	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a8-199dc93de02%22	https://ranti.co.id/_nuxt/4aec0301750f228f3abc.js	E:/cloning%20website/Muslimah/ranti.co.id/_nuxt/4aec0301750f228f3abc.js	(from https://ranti.co.id/transparent)
22:08:31	16517/16517	---M--	200	added ('OK')	image/png	etag:%2225162c96ca2bda0f6f91b37efff1ceb5%22	https://static.mineralcdn.net/emoji/magnifying-glass.png	E:/cloning%20website/Muslimah/static.mineralcdn.net/emoji/magnifying-glass.png	(from https://ranti.co.id/transparent)
22:08:32	1/1	---M--	200	added ('OK')	text/plain	etag:%22698a611d-1%22	https://use.typekit.net/robots.txt		(from https://use.typekit.net/wwd6pco.css)
22:08:33	3625/3625	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e29-199dc93de03%22	https://ranti.co.id/_nuxt/40b2a5d585a297040def.js	E:/cloning%20website/Muslimah/ranti.co.id/_nuxt/40b2a5d585a297040def.js	(from https://ranti.co.id/forgot-password)
